0	15	13	15	15	40	30
35	30	35	30	30	35	35
30	30	45	50	30	40	35
15	30	30	67	0	30	0
0	0	30	30	0	30	30
15	0	30	30	0	0	75
63	81	68	62	52	88	22
25	0	45	56	58	105	86
55	0	64	134	0	78	144
0	75	87	73	0	0	0
139	17	94	55	49	72	83
0	77	55	41	85	81	49
121	73	92	0	72	77	85
0	0	122	57	122	81	129
38	125	78	0	156	79	86
64	147	142	158	113	97	98
13	49	103	116	54	0	119
33	82	139	21	101	43	74
78	50	0	18	101	102	71
90	72	100	63	106	64	34
64	100	0	65	66	42	104
61	50	98	95	77	83	66
107	101	0	88	92	30	63
0	56	62	0	53	60	70
0	66	75	75	48	101	131
33	56	121	60	92	53	56
70	0	50	64	38	85	0
65	82	70	63	53	69	66
86	36	0	30	0	0	64
0	47	0	1	17	42	0
0	81	31	47	0	107	44
0	86	79	39	46	67	91
0	84	66	0	38	0	89
0	32	37	0	46	62	0
28	0	20	0	43	0	94
0	0	77	0	0	72	70
32	0	99	63	77	0	65
60	50	0	80	67	0	0
0	0	30	0	0	80	62
47	0	0	0	0	46	124
52	0	26	0	44	40	0
0	0	0	73	50	54	0
0	0	28	0	32	0	45
34	29	0	0	0	57	69
0	0	63	60	0	77	65

